ID,STATUS
5001711,0
5001712,0
5001713,0
5001714,0
5001715,0
5001717,0
5001718,1
5001719,0
5001720,1
5001723,0
5001724,0
5001725,0
5001726,0
5001728,0
5001729,0
5001730,0
5001731,0
5001732,0
5001733,0
5001734,0
5001735,0
5001736,0
5001737,0
5001738,0
5001739,0
5001742,0
5001743,0
5001744,0
5001745,0
5001746,0
5001747,0
5001748,0
5001754,0
5001755,0
5001756,0
5001757,1
5001758,0
5001759,0
5001760,0
5001765,0
5001766,0
5001767,0
5001768,0
5001769,0
5001770,0
5001771,0
5001772,0
5001773,0
5001774,0
5001775,0
5001778,0
5001779,0
5001780,0
5001782,0
5001783,0
5001784,0
5001785,0
5001786,1
5001787,0
5001788,0
5001789,0
5001790,0
5001791,0
5001792,1
5001793,1
5001794,0
5001795,0
5001796,0
5001798,0
5001800,0
5001803,0
5001804,0
5001805,0
5001806,0
5001807,0
5001808,0
5001812,0
5001813,0
5001816,1
5001817,1
5001818,0
5001819,0
5001820,0
5001821,0
5001823,0
5001824,0
5001825,0
5001827,0
5001828,0
5001829,0
5001830,0
5001831,0
5001832,0
5001833,0
5001836,1
5001837,0
5001838,0
5001839,0
5001840,0
5001841,0
5001842,0
5001843,0
5001844,1
5001846,0
5001847,0
5001848,1
5001849,0
5001850,0
5001851,0
5001852,0
5001853,0
5001854,0
5001855,0
5001856,1
5001857,0
5001858,0
5001859,0
5001860,0
5001861,0
5001862,0
5001863,0
5001864,0
5001867,0
5001870,0
5001871,0
5001872,0
5001873,0
5001874,0
5001875,0
5001876,0
5001877,0
5001879,0
5001882,0
5001883,0
5001886,0
5001887,0
5001888,1
5001889,0
5001890,0
5001891,0
5001892,0
5001893,0
5001894,0
5001895,0
5001896,1
5001897,0
5001898,0
5001899,0
5001900,0
5001901,0
5001902,0
5001904,0
5001905,0
5001906,0
5001907,0
5001908,0
5001909,0
5001910,0
5001911,0
5001912,0
5001913,0
5001914,0
5001915,0
5001916,0
5001917,0
5001918,1
5001919,0
5001920,0
5001921,0
5001922,1
5001923,1
5001924,0
5001925,0
5001926,1
5001927,1
5001931,0
5001932,0
5001933,1
5001936,0
5001940,0
5001941,0
5001942,0
5001943,0
5001944,0
5001945,0
5001946,0
5001947,0
5001948,0
5001949,0
5001950,0
5001951,0
5001952,0
5001953,0
5001954,0
5001956,0
5001957,0
5001958,0
5001959,1
5001960,0
5001961,0
5001962,0
5001963,0
5001964,0
5001965,0
5001966,0
5001967,0
5001968,0
5001970,0
5001976,0
5001982,0
5001983,0
5001986,0
5001987,0
5001988,1
5001989,0
5001990,0
5001991,0
5001993,0
5001994,0
5001995,0
5001996,0
5001997,0
5001998,0
5001999,0
5002000,0
5002001,0
5002002,0
5002003,0
5002004,0
5002005,0
5002006,0
5002007,0
5002008,0
5002009,0
5002010,0
5002011,0
5002012,0
5002013,0
5002015,0
5002016,0
5002018,0
5002019,0
5002020,0
5002021,0
5002022,0
5002023,0
5002024,0
5002025,0
5002026,0
5002028,0
5002029,0
5002030,0
5002031,0
5002032,0
5002033,0
5002034,0
5002035,0
5002037,0
5002038,0
5002039,0
5002041,0
5002042,1
5002043,0
5002044,1
5002046,0
5002047,0
5002048,0
5002049,0
5002050,0
5002052,0
5002053,0
5002054,0
5002055,0
5002057,0
5002058,0
5002059,0
5002060,0
5002061,1
5002062,0
5002068,0
5002069,0
5002070,0
5002071,0
5002072,0
5002073,0
5002076,0
5002077,0
5002078,0
5002079,0
5002080,0
5002081,0
5002082,0
5002083,0
5002084,0
5002085,1
5002087,0
5002088,0
5002091,1
5002094,0
5002096,0
5002097,0
5002098,0
5002101,0
5002104,0
5002105,1
5002106,0
5002107,0
5002108,1
5002109,0
5002110,0
5002111,0
5002112,0
5002113,0
5002114,0
5002115,0
5002116,0
5002118,0
5002120,0
5002121,0
5002123,1
5002124,0
5002126,3
5002128,1
5002130,0
5002131,0
5002134,0
5002135,0
5002138,0
5002140,0
5002141,0
5002142,0
5002144,0
5002145,0
5002146,0
5002147,0
5002148,0
5002149,0
5002150,0
5002151,0
5002152,0
5002153,0
5002154,1
5002155,0
5002156,0
5002157,0
5002158,0
5002160,0
5002161,0
5002162,0
5002163,0
5002164,0
5002165,0
5002168,0
5002169,0
5002170,0
5002171,0
5002175,0
5002176,0
5002177,0
5002178,0
5002179,0
5002181,0
5002182,0
5002183,0
5002186,0
5002189,0
5002190,0
5002191,0
5002192,0
5002194,0
5002196,0
5002197,0
5002198,0
5002199,0
5002200,0
5002201,0
5002202,0
5002203,0
5002204,0
5002205,0
5002206,0
5002207,0
5002208,0
5002209,0
5002216,0
5002217,0
5002218,0
5002219,1
5002220,1
5002221,0
5002222,0
5002223,0
5002224,0
5002225,1
5002226,0
5002227,0
5002228,0
5002229,0
5002230,1
5002231,0
5002232,1
5002233,0
5002234,0
5002235,0
5002236,0
5002237,0
5002238,0
5002239,0
5002241,0
5002242,0
5002243,0
5002244,0
5002245,1
5002246,0
5002247,0
5002248,0
5002249,0
5002250,0
5002251,0
5002253,1
5002254,1
5002255,2
5002256,0
5002257,0
5002258,0
5002259,0
5002260,0
5002262,0
5002263,0
5002264,0
5002265,0
5002266,0
5002267,0
5002268,0
5002270,0
5002271,0
5002273,0
5002274,1
5002275,0
5002276,0
5002277,0
5002278,0
5002279,1
5002280,0
5002283,2
5002285,0
5002286,0
5002287,0
5002289,0
5002291,0
5002292,0
5002293,0
5002294,1
5002296,0
5002297,1
5002298,0
5002299,0
5002300,0
5002301,0
5002302,0
5002303,2
5002304,0
5002305,0
5002306,0
5002309,0
5002310,0
5002311,0
5002312,0
5002313,0
5002314,0
5002315,0
5002316,0
5002317,0
5002318,0
5002319,0
5002320,0
5002321,0
5002322,0
5002323,0
5002324,0
5002325,0
5002326,0
5002330,0
5002331,1
5002332,0
5002333,0
5002335,0
5002336,0
5002337,0
5002338,0
5002339,0
5002340,0
5002341,0
5002342,0
5002343,0
5002344,0
5002345,0
5002346,0
5002347,0
5002348,0
5002349,0
5002350,0
5002351,0
5002352,0
5002353,0
5002354,0
5002355,0
5002356,0
5002360,0
5002363,0
5002364,0
5002365,0
5002368,0
5002369,0
5002370,1
5002373,1
5002374,0
5002375,0
5002376,0
5002377,0
5002378,0
5002380,2
5002381,1
5002383,0
5002384,0
5002385,0
5002386,0
5002387,0
5002388,0
5002390,0
5002391,0
5002392,0
5002394,0
5002395,0
5002396,0
5002397,0
5002398,0
5002399,0
5002402,0
5002403,0
5002404,0
5002405,0
5002408,0
5002409,0
5002410,0
5002411,0
5002412,0
5002413,1
5002418,0
5002420,0
5002421,0
5002422,0
5002424,0
5002425,0
5002426,0
5002427,0
5002428,1
5002429,0
5002430,0
5002431,0
5002432,0
5002433,1
5002434,0
5002435,0
5002436,0
5002437,0
5002438,0
5002439,0
5002441,0
5002443,0
5002444,0
5002445,0
5002446,1
5002447,0
5002448,0
5002449,0
5002450,0
5002453,0
5002454,0
5002455,0
5002456,0
5002457,0
5002458,0
5002459,0
5002460,0
5002462,0
5002465,0
5002467,0
5002469,0
5002471,0
5002472,0
5002474,0
5002475,0
5002476,0
5002477,0
5002479,0
5002480,0
5002481,0
5002482,1
5002483,0
5002484,0
5002485,0
5002486,0
5002487,0
5002488,1
5002489,1
5002490,0
5002491,0
5002492,0
5002495,0
5002496,0
5002497,0
5002501,1
5002502,1
5002505,0
5002507,1
5002508,0
5002509,0
5002510,0
5002511,0
5002512,0
5002514,0
5002515,0
5002518,0
5002519,0
5002520,0
5002521,0
5002523,0
5002524,0
5002525,0
5002526,0
5002527,1
5002528,0
5002529,0
5002533,0
5002534,0
5002537,0
5002538,1
5002539,0
5002540,0
5002541,0
5002543,0
5002544,1
5002545,1
5002547,0
5002548,0
5002549,0
5002550,0
5002551,0
5002554,0
5002555,0
5002556,0
5002557,0
5002558,0
5002559,1
5002560,0
5002562,0
5002563,0
5002564,0
5002565,0
5002566,0
5002567,0
5002568,1
5002570,0
5002571,0
5002572,0
5002573,0
5002574,0
5002575,1
5002576,0
5002578,0
5002579,0
5002581,0
5002582,0
5002583,0
5002584,0
5002585,0
5002586,0
5002587,0
5002588,0
5002589,0
5002590,0
5002591,0
5002592,0
5002593,0
5002594,0
5002595,1
5002597,0
5002598,0
5002599,0
5002601,0
5002602,0
5002603,0
5002604,0
5002605,0
5002606,0
5002607,0
5002608,0
5002609,0
5002611,0
5002612,0
5002615,0
5002616,0
5002617,0
5002618,0
5002619,0
5002620,0
5002621,0
5002622,0
5002623,0
5002624,0
5002626,0
5002628,0
5002629,0
5002630,0
5002631,0
5002633,0
5002636,0
5002637,0
5002638,1
5002639,1
5002642,2
5002644,0
5002645,0
5002646,0
5002647,0
5002649,0
5002650,0
5002651,0
5002652,0
5002653,0
5002654,0
5002655,0
5002660,0
5002661,0
5002662,0
5002665,0
5002666,0
5002667,0
5002668,0
5002669,0
5002670,0
5002671,0
5002672,0
5002673,0
5002674,0
5002675,0
5002677,0
5002679,0
5002680,0
5002683,0
5002684,0
5002685,0
5002686,0
5002687,0
5002688,0
5002689,0
5002690,0
5002691,0
5002694,0
5002695,1
5002696,0
5002697,0
5002698,0
5002699,0
5002700,0
5002701,0
5002702,0
5002703,0
5002704,0
5002705,0
5002706,0
5002708,0
5002709,0
5002710,0
5002711,0
5002713,0
5002715,1
5002716,0
5002717,2
5002718,0
5002719,1
5002720,1
5002722,0
5002723,0
5002725,0
5002727,0
5002728,0
5002729,0
5002730,0
5002731,0
5002732,0
5002733,0
5002734,1
5002735,0
5002736,0
5002737,0
5002738,0
5002739,0
5002740,0
5002741,0
5002742,0
5002743,0
5002744,1
5002745,0
5002747,0
5002749,0
5002750,0
5002752,0
5002753,0
5002754,0
5002755,0
5002756,0
5002757,0
5002758,0
5002759,0
5002760,0
5002762,0
5002763,0
5002765,0
5002766,1
5002767,0
5002768,0
5002769,0
5002770,0
5002776,0
5002779,0
5002780,0
5002781,0
5002782,0
5002783,0
5002784,1
5002787,0
5002788,0
5002789,0
5002790,0
5002791,0
5002792,0
5002793,1
5002795,2
5002796,1
5002798,0
5002799,0
5002800,0
5002804,0
5002805,0
5002806,0
5002807,0
5002808,1
5002809,1
5002810,1
5002811,1
5002812,1
5002813,1
5002814,0
5002815,0
5002817,0
5002818,0
5002819,0
5002820,0
5002821,0
5002822,0
5002825,0
5002827,0
5002828,0
5002829,0
5002830,0
5002831,1
5002832,0
5002833,0
5002837,0
5002840,1
5002841,1
5002843,1
5002844,1
5002845,0
5002846,0
5002847,1
5002848,0
5002849,0
5002850,0
5002851,0
5002852,0
5002853,1
5002854,1
5002855,0
5002856,1
5002857,1
5002860,0
5002862,0
5002863,0
5002864,0
5002865,0
5002866,0
5002867,0
5002869,0
5002870,0
5002871,0
5002872,0
5002873,0
5002874,0
5002878,0
5002879,0
5002882,0
5002883,0
5002884,1
5002886,0
5002887,0
5002888,0
5002889,0
5002890,0
5002892,0
5002893,0
5002894,0
5002895,0
5002896,0
5002897,0
5002898,0
5002899,0
5002900,0
5002901,0
5002902,0
5002903,0
5002904,0
5002905,1
5002906,1
5002909,0
5002910,0
5002911,0
5002912,0
5002913,0
5002914,0
5002915,0
5002916,0
5002917,0
5002918,0
5002919,0
5002920,0
5002921,0
5002922,0
5002923,1
5002929,0
5002930,0
5002931,0
5002933,0
5002934,0
5002935,1
5002936,0
5002937,0
5002938,0
5002939,0
5002940,0
5002943,0
5002944,0
5002945,1
5002946,0
5002947,0
5002948,0
5002949,0
5002950,1
5002953,0
5002955,0
5002956,0
5002958,0
5002961,0
5002962,1
5002963,0
5002964,0
5002966,0
5002967,0
5002968,0
5002969,0
5002970,0
5002971,0
5002972,0
5002973,0
5002974,0
5002975,0
5002976,0
5002977,0
5002978,0
5002979,0
5002981,0
5002982,0
5002983,0
5002985,0
5002986,0
5002987,0
5002988,0
5002989,1
5002990,0
5002991,0
5002992,0
5002993,1
5002994,0
5002995,0
5002996,1
5002999,0
5003000,0
5003001,1
5003002,0
5003003,1
5003006,0
5003007,0
5003008,0
5003011,0
5003012,0
5003013,0
5003014,0
5003015,0
5003016,0
5003017,0
5003018,0
5003019,0
5003020,0
5003021,0
5003023,0
5003024,0
5003025,0
5003026,1
5003027,0
5003028,0
5003029,0
5003030,0
5003031,0
5003033,1
5003034,0
5003035,1
5003036,0
5003037,0
5003038,0
5003039,1
5003040,0
5003041,0
5003042,0
5003043,1
5003046,0
5003049,0
5003050,0
5003051,0
5003052,0
5003053,0
5003054,0
5003056,0
5003057,0
5003058,0
5003059,0
5003061,0
5003065,0
5003066,0
5003067,0
5003068,0
5003069,0
5003070,1
5003073,0
5003074,0
5003075,0
5003076,0
5003079,0
5003082,0
5003083,0
5003084,0
5003086,0
5003088,1
5003089,0
5003090,0
5003091,0
5003092,0
